DATE,TIME,NAME,MOBILE,PRODUCT,TOTALAMOUNT
25-Jun-20,16:45,ashish,acvs,"eggs,bread",94.0
25-Jun-20,16:46,ashish,ad,"eggs,bread,colgate,oats",319.0
25-Jun-20,16:43,ashu,ad,"eggs,bread,chillies",98.0
25-Jun-20,16:51,rakesh,fdg,"tea,milk,coffee",399.0
25-Jun-20,17:08,ananya,fhgd,"milk,bread",118.0
25-Jun-20,10:08,ashish,sgh,"eggs,milk,pizza",120.0
25-Jun-20,11:17,ashishs,dsgh,"milk,banana,pomegrenate",354.0
25-Jun-20,22:00,Ashish,dsgh,"butter,milk,bread",134.0
25-Jun-20,11:19,ashish saini,sdgh,"bread,butter,jam",242.0
25-Jun-20,12:20,mukesh,bd,"milk,eggs,bread,butter,apple,Ponds facewash",596.0
25-Jun-20,14:07,mukesh,gsnfg,"bread,milk",86.0
25-Jun-20,14:39,vivek,dfn,"pomegranate,oats,colgate,chillies,pizza,banana,coffee,jam",820.0
25-Jun-20,14:54,rahul,dfgn,"beer,blenders pride",850.0
25-Jun-20,14:58,rahul,dfn,"beer,peanuts",220.0
25-Jun-20,14:59,rahul,dfgn,"beer,peanuts,boiled eggs",262.0
25-Jun-20,23:28,ashu saini,ddfgn,"bread,eggs,milk",148.0
25-Jun-20,8:22,vaibhav,dfgndf,"milk,eggs,bread",89.0
25-Jun-20,10:21,vivek,ddfd,eggs,30.0
25-Jun-20,18:30,tanishk,dfgh,"bread,milk",59.0
25-Jun-20,18:31,tanishk,fdgh,apple,200.0
25-Jun-20,19:00, vikas,sdfg,"bread,chillies,beer",142.0
25-Jun-20,19:03, vikas,sdfbg,"beer,peanuts,pizza",320.0
25-Jun-20,19:05, vikas,bxc,"beer,peanuts",120.0
25-Jun-20,8:50,Ashish Saini,xb,"beer,blenders pride,peanuts,chillies,boiled eggs",1055.0
25-Jun-20,8:52,anuradha,vbx,"beer,blenders pride,peanuts",970.0
25-Jun-20,13:20,ashish saini,xcvbs,"milk,bread,butter,eggs",166.0
25-Jun-20,19:31,shanky,xyz@abc.com,"milk,suger,TataTea",242.5
25-Jun-20,20-07,kavita,kavita@gmial.com,"bread,jam,eggs",101.0
26-Jun-20,13-56,sanj,sanj@sanj.sanj,"milk,bread",94.0
26-Jun-20,13-58,lol,olo,"milk,bread",340.0
26-Jun-20,14-05,pappu,pappu@pappu.pappu,"milk,bread",140.0
6/26/2020,14-05,pinky,pinky,"bread,jam,eggs",101.0
26-Jun-2020,17-10,dhinchak pooja,dhinchak@pooja.com,"milk,bread,butter",499.0
27-Jun-2020,17-20,sanjeev,ksanjeev7777@gmail.com,"milk,beer",235.0
27-Jun-2020,23-32,pragya sahu,pragyasahu04022000@gmail.com,"milk,eggs",87.0
